tsunami,significance,data_type,magnitude,state,longitude,latitude,depth,date,time
0,614,earthquake,6.3, Indonesia,130.195,-5.916,173.9,2008-08-04,20:45:13.970000+00:00
0,566,earthquake,6.0, China,105.494,32.756,6.0,2008-08-05,09:49:17.260000+00:00
0,650,earthquake,6.5,west of Macquarie Island,153.771,-60.648,10.0,2008-08-09,06:01:48.510000+00:00
0,611,earthquake,6.3,west of Macquarie Island,153.826,-60.693,10.0,2008-08-09,16:36:38.170000+00:00
0,596,earthquake,6.2, India,91.814,11.055,20.0,2008-08-10,08:20:33.420000+00:00
0,554,earthquake,6.0,central Mid-Atlantic Ridge,-21.843,-1.02,13.0,2008-08-11,23:38:38.310000+00:00
0,562,earthquake,6.0, Philippines,124.319,12.897,10.0,2008-08-15,10:25:16.530000+00:00
0,572,earthquake,6.1, Tonga,-173.476,-15.087,8.0,2008-08-19,16:30:13.210000+00:00
0,556,earthquake,6.0, Myanmar,97.697,25.039,10.0,2008-08-21,12:24:30.930000+00:00
0,554,earthquake,6.0, Mauritius,65.394,-17.769,6.0,2008-08-22,07:47:39.580000+00:00
0,692,earthquake,6.7, Nepal,83.52,30.901,12.0,2008-08-25,13:21:58.820000+00:00
0,665,earthquake,6.4, Peru,-74.377,-7.641,154.0,2008-08-26,21:00:36.610000+00:00
0,663,earthquake,6.3, Russia,104.158,51.607,16.0,2008-08-27,01:35:32.150000+00:00
0,611,earthquake,6.3,north of Ascension Island,-17.358,-0.252,12.0,2008-08-28,15:22:23.200000+00:00
0,635,earthquake,6.4, Papua New Guinea,147.258,-6.146,75.0,2008-08-30,06:54:07.610000+00:00
0,595,earthquake,6.0, China,101.889,26.241,11.0,2008-08-30,08:30:53.010000+00:00
0,554,earthquake,6.0,south of the Fiji Islands,-177.636,-25.387,171.1,2008-09-01,04:00:39.430000+00:00
0,611,earthquake,6.3, Argentina,-63.225,-26.736,569.6,2008-09-03,11:25:14.450000+00:00
0,591,earthquake,6.2, Vanuatu,169.108,-19.964,36.0,2008-09-08,03:03:15.930000+00:00
0,732,earthquake,6.9, Vanuatu,166.967,-13.501,110.0,2008-09-08,18:52:06.970000+00:00
0,572,earthquake,6.1, Iran,55.828,26.743,12.0,2008-09-10,11:00:34.090000+00:00
0,670,earthquake,6.6,central Mid-Atlantic Ridge,-38.705,8.093,9.0,2008-09-10,13:08:14.690000+00:00
0,670,earthquake,6.6, Indonesia,127.363,1.885,96.0,2008-09-11,00:00:02.700000+00:00
0,711,earthquake,6.8, Japan,143.754,41.892,25.0,2008-09-11,00:20:50.920000+00:00
0,554,earthquake,6.0,central East Pacific Rise,-105.999,-4.554,11.0,2008-09-18,01:41:03.010000+00:00
0,630,earthquake,6.4, Mexico,-105.497,17.612,12.0,2008-09-24,02:33:05.560000+00:00
0,554,earthquake,6.0, Nepal,83.487,30.836,4.0,2008-09-25,01:47:11.190000+00:00
0,754,earthquake,7.0, New Zealand,-177.683,-29.756,36.0,2008-09-29,15:19:31.590000+00:00
0,572,earthquake,6.1, New Zealand,-177.176,-30.184,10.0,2008-10-05,09:12:36.070000+00:00
0,691,earthquake,6.7, Kyrgyzstan,73.824,39.533,27.4,2008-10-05,15:52:49.400000+00:00
0,556,earthquake,6.0, Afghanistan,69.47,33.886,10.0,2008-10-05,22:56:28.930000+00:00
0,611,earthquake,6.3, China,90.35,29.807,12.0,2008-10-06,08:30:45.570000+00:00
0,785,earthquake,6.1, U.S. Virgin Islands,-64.833,19.161,23.0,2008-10-11,10:40:14.060000+00:00
0,591,earthquake,6.2, Bolivia,-64.971,-20.123,352.7,2008-10-12,20:55:41.460000+00:00
0,731,earthquake,6.7, Mexico,-92.364,14.423,24.0,2008-10-16,19:41:25.720000+00:00
0,738,earthquake,6.9, Tonga,-173.819,-21.863,29.0,2008-10-19,05:10:33.910000+00:00
0,632,earthquake,6.4, Tonga,-175.351,-18.414,233.4,2008-10-22,12:55:57.390000+00:00
0,611,earthquake,6.3, Papua New Guinea,145.574,-2.635,10.0,2008-10-23,10:04:35.040000+00:00
0,554,earthquake,6.0, Papua New Guinea,145.867,-3.494,18.3,2008-10-28,16:00:03.240000+00:00
0,636,earthquake,6.4, Pakistan,67.351,30.639,15.0,2008-10-28,23:09:57.650000+00:00
0,635,earthquake,6.4, Pakistan,67.455,30.598,14.0,2008-10-29,11:32:43.130000+00:00
0,572,earthquake,6.1,central East Pacific Rise,-108.246,-9.02,10.0,2008-10-30,15:15:41.140000+00:00
0,554,earthquake,6.0, Papua New Guinea,148.712,-3.399,10.0,2008-11-01,01:13:09.640000+00:00
0,572,earthquake,6.1, Alaska,-174.366,51.552,36.0,2008-11-02,13:48:42.820000+00:00
0,611,earthquake,6.3, Vanuatu,168.458,-17.135,205.7,2008-11-04,18:35:45.270000+00:00
0,630,earthquake,6.4, Vanuatu,168.032,-14.829,13.0,2008-11-07,07:19:35.710000+00:00
0,591,earthquake,6.2,Banda Sea,129.074,-6.712,10.0,2008-11-07,16:04:23.350000+00:00
0,554,earthquake,6.0, Tonga,-174.232,-15.223,121.0,2008-11-08,07:49:59+00:00
0,611,earthquake,6.3, China,95.833,37.565,19.0,2008-11-10,01:22:02.570000+00:00
0,848,earthquake,7.4, Indonesia,122.091,1.271,30.0,2008-11-16,17:02:32.700000+00:00
0,708,earthquake,6.3, Panama,-82.967,8.267,32.0,2008-11-19,06:11:20.790000+00:00
0,574,earthquake,6.1, Solomon Islands,159.553,-8.947,118.0,2008-11-21,07:05:34.940000+00:00
0,611,earthquake,6.3, Indonesia,101.259,-4.348,24.0,2008-11-22,16:01:01.700000+00:00
0,630,earthquake,6.4,southeast of the Loyalty Islands,171.199,-22.523,57.3,2008-11-22,16:01:39.380000+00:00
0,611,earthquake,6.3,north of Ascension Island,-13.933,-1.23,10.0,2008-11-22,18:49:42.380000+00:00
0,825,earthquake,7.3, Russia,154.322,54.203,492.3,2008-11-24,09:02:58.760000+00:00
0,554,earthquake,6.0,Fiji region,-177.716,-18.701,386.0,2008-11-29,05:59:16.580000+00:00
0,630,earthquake,6.4, Timor Leste,124.745,-7.393,398.0,2008-12-06,10:55:26.350000+00:00
0,611,earthquake,6.3,southeast Indian Ridge,106.823,-53.005,11.0,2008-12-08,18:39:09.480000+00:00
0,711,earthquake,6.8,Kermadec Islands region,-176.924,-31.232,18.0,2008-12-09,06:23:59.750000+00:00
0,572,earthquake,6.1, Vanuatu,168.173,-15.929,224.1,2008-12-09,17:28:58.640000+00:00
0,554,earthquake,6.0, Solomon Islands,166.572,-12.337,51.0,2008-12-10,13:15:34.430000+00:00
0,614,earthquake,6.2, Chile,-71.726,-32.458,18.0,2008-12-18,21:19:28.380000+00:00
0,569,earthquake,6.0, Chile,-72.051,-32.473,25.0,2008-12-18,21:50:28+00:00
0,613,earthquake,6.3, Japan,142.425,36.541,19.0,2008-12-20,10:29:23.100000+00:00
0,554,earthquake,6.0, Tonga,-171.909,-17.29,9.0,2008-12-24,09:11:34.290000+00:00
0,624,earthquake,6.3, Philippines,125.377,5.752,206.0,2008-12-25,03:20:29.350000+00:00
0,918,earthquake,7.7, Indonesia,132.885,-0.414,17.0,2009-01-03,19:43:50.650000+00:00
