date,change,change_pct,effect,num,sum,max_mag,max_sig,min_depth,min_dist,tsunami
2011-11-28,222.36962890625,3.223598445383686,0,1,6.1,6.1,572.0,25.0,13881.669389505121,0.0
2011-11-29,29.16015625,0.40952113319681716,0,0,,,,,,
2011-11-30,334.7900390625,4.682568116631698,0,1,6.0,6.0,588.0,9.0,13643.112030181097,0.0
2011-12-01,-34.06982421875,-0.4552050800821698,0,0,,,,,,
2011-12-02,3.11962890625,0.041871795757388953,0,0,,,,,,
2011-12-05,77.4599609375,1.0392358402004078,0,0,,,,,,
2011-12-06,8.31005859375,0.11034454677885212,0,0,,,,,,
2011-12-07,20.39013671875,0.27045061350561417,0,0,,,,,,
2011-12-08,-190.18994140625,-2.515836485645595,0,1,6.1,6.1,592.0,20.0,7604.303463875711,0.0
2011-12-09,133.35986328125,1.8096139630235046,0,0,,,,,,
2011-12-12,-139.3896484375,-1.8578152737965592,0,2,12.7,6.5,1410.0,59.0,3531.2340020165066,0.0
2011-12-13,-85.8701171875,-1.166160536027227,0,1,6.0,6.0,554.0,161.0,15177.09808392033,0.0
2011-12-14,-92.8701171875,-1.2761055907297132,0,1,7.1,7.1,834.0,135.0,14563.86368368722,0.0
2011-12-15,32.3701171875,0.45053922805247226,0,1,6.0,6.0,554.0,32.0,13479.24514655203,0.0
2011-12-16,20.56005859375,0.28487977602564873,0,0,,,,,,
2011-12-19,-95.2099609375,-1.3154798495931384,1,0,,,,,,
2011-12-20,218.52001953125,3.059454578691524,0,0,,,,,,
2011-12-21,27.5498046875,0.3742686613776061,0,0,,,,,,
2011-12-22,72.22998046875,0.9775974116306514,0,0,,,,,,
2011-12-23,57.91015625,0.776197517005663,0,0,,,,,,
2011-12-27,-10.2900390625,-0.13686001027651515,0,2,12.6,6.6,670.0,15.0,9700.641802086298,0.0
2011-12-28,-111.3798828125,-1.4834095958793903,0,0,,,,,,
2011-12-29,88.6396484375,1.198320473989236,0,0,,,,,,
2011-12-30,-8.60009765625,-0.11488809613732562,0,0,,,,,,
2012-01-03,147.2900390625,1.9699003921972744,0,1,6.8,6.8,864.0,365.3,11363.256726471123,0.0
